competitie_naam,position,leeftijd_categorie,gemiddelde_fee,mediaan_fee,aantal_transfers
major-league-soccer,Midfield,19-21,6335714.285714285,6000000.0,7
pko-bp-ekstraklasa,Midfield,19-21,4242857.142857143,3000000.0,7
major-league-soccer,Midfield,22-24,3487142.8571428573,2150000.0,7
chance-liga,Midfield,25-27,4471428.571428572,2000000.0,7
scottish-premiership,Defender,19-21,5064000.0,3400000.0,7
scottish-premiership,Defender,22-24,10162142.857142856,3270000.0,7
liga-portugal,Goalkeeper,28-30,2092857.142857143,1500000.0,7
superliga,Goalkeeper,22-24,2468571.4285714286,1600000.0,7
scottish-premiership,Midfield,25-27,3287000.0,2330000.0,7
bundesliga,Goalkeeper,31-33,1335714.2857142857,500000.0,7
laliga,Goalkeeper,28-30,6285714.285714285,4000000.0,7
eredivisie,Goalkeeper,22-24,4214285.714285715,5000000.0,7
premier-league,Goalkeeper,28-30,9197142.857142856,5000000.0,7
super-lig,Attack,19-21,1916714.2857142857,183000.0,7
liga-betplay-dimayor,Attack,19-21,2887142.8571428573,3000000.0,7
pko-bp-ekstraklasa,Attack,19-21,3535833.3333333335,2300000.0,6
premier-liga,Defender,31-33,1639166.6666666667,750000.0,6
j1-league,Midfield,25-27,1293333.3333333333,1285000.0,6
major-league-soccer,Defender,25-27,2360166.6666666665,1422500.0,6
liga-mx-clausura,Midfield,25-27,8235000.0,8355000.0,6
major-league-soccer,Defender,19-21,6307833.333333333,6075000.0,6
laliga,Midfield,19-21,12966666.666666666,13300000.0,6
super-league-1,Attack,31-33,513333.3333333333,500000.0,6
eliteserien,Defender,22-24,2283333.3333333335,1100000.0,6
super-league-1,Attack,22-24,1966666.6666666667,1200000.0,6
super-liga-srbije,Defender,22-24,3990000.0,1750000.0,6
eliteserien,Attack,25-27,922500.0,560000.0,6
serie-a,Goalkeeper,31-33,2266666.6666666665,2600000.0,6
ligue-1,Attack,31-33,4916666.666666667,3900000.0,6
chance-liga,Attack,22-24,4116666.6666666665,3000000.0,6
laliga,Goalkeeper,25-27,10466666.666666666,5000000.0,6
pko-bp-ekstraklasa,Midfield,25-27,1366666.6666666667,550000.0,6
supersport-hnl,Midfield,19-21,2450000.0,2350000.0,6
super-league-1,Midfield,22-24,653333.3333333334,350000.0,6
supersport-hnl,Attack,25-27,2125000.0,1175000.0,6
bundesliga,Goalkeeper,34+,3683333.3333333335,2500000.0,6
super-league-1,Midfield,28-30,1000000.0,400000.0,6
premier-liga,Attack,31-33,1360000.0,325000.0,6
supersport-hnl,Attack,19-21,4141666.6666666665,3500000.0,6
major-league-soccer,Midfield,25-27,3040000.0,1400000.0,5
eliteserien,Defender,25-27,680000.0,600000.0,5
chance-liga,Midfield,22-24,5490000.0,4000000.0,5
super-liga-srbije,Midfield,25-27,840000.0,500000.0,5
supersport-hnl,Attack,22-24,825000.0,1000000.0,5
super-liga-srbije,Midfield,28-30,1880000.0,500000.0,5
premier-league,Goalkeeper,34+,6160000.0,8000000.0,5
pko-bp-ekstraklasa,Attack,28-30,820000.0,700000.0,5
ligue-1,Goalkeeper,31-33,5520000.0,4800000.0,5
eliteserien,Midfield,25-27,1070000.0,750000.0,5
super-liga-srbije,Attack,28-30,1370000.0,600000.0,5
super-liga-srbije,Attack,25-27,770000.0,400000.0,5
super-lig,Goalkeeper,22-24,643200.0,500000.0,5
laliga,Goalkeeper,22-24,29500000.0,24500000.0,5
liga-mx-clausura,Defender,25-27,6486000.0,5000000.0,5
laliga,Attack,34+,3240000.0,1500000.0,5
jupiler-pro-league,Midfield,31-33,1220000.0,1400000.0,5
premier-liga,Goalkeeper,28-30,430000.0,200000.0,5
liga-mx-clausura,Defender,22-24,3620000.0,3500000.0,5
super-league-1,Goalkeeper,25-27,2760000.0,2400000.0,5
allsvenskan,Midfield,25-27,835800.0,800000.0,5
allsvenskan,Defender,28-30,521000.0,400000.0,5
super-lig,Defender,31-33,1425000.0,1500000.0,5
jupiler-pro-league,Goalkeeper,22-24,8100000.0,8200000.0,5
campeonato-brasileiro-serie-a,Goalkeeper,28-30,2270000.0,1350000.0,5
supersport-hnl,Defender,19-21,12108000.0,6500000.0,5
major-league-soccer,Attack,19-21,9810200.0,3000000.0,5
liga-mx-clausura,Attack,25-27,2650000.0,2000000.0,5
liga-betplay-dimayor,Defender,19-21,2786000.0,2500000.0,5
super-liga-srbije,Midfield,19-21,4640000.0,2500000.0,5
